Date,Open,High,Low,Close,Inflasi,Kurs,M2,Vix Open,Vix High,Vix Low,Vix Close,ROE,NPM,PER,Sentiment_Perang,Sentiment_Resesi,Sentiment_BBM
7/30/2019,655,670,655,660,3.37173913,14034,5935132.953,12.87,14.18,12.87,13.94,-0.36744966,-0.062320888,-39.18904156,0.9275774,0.9275774,0.9275774
7/31/2019,660,685,660,660,3.379130435,14026,5934847.231,13.83,16.549999,13.46,16.120001,-0.359196087,-0.0611046,-37.35287098,0.92900331,0.92900331,0.92900331
8/1/2019,660,685,660,665,3.386521739,14098,5934561.51,20.959999,22.030001,20.09,20.469999,-0.350942513,-0.059888313,-35.51670041,0.857122117,0.857122117,0.857122117
8/4/2019,665,670,645,655,3.393913043,14164.5,5937881.303,13.55,13.77,13.1,13.18,-0.34268894,-0.058672025,-33.68052983,0.842385843,0.842385843,0.842385843
8/5/2019,655,655,630,640,3.401304348,14231,5941201.097,18.950001,21.74,18.290001,19.4,-0.334435366,-0.057455738,-31.84435925,0.808421671,0.808421671,0.808421671
8/6/2019,635,665,635,660,3.408695652,14344,5944520.89,16.3400005,18.09,15.9650005,16.68,-0.326181793,-0.05623945,-30.00818867,0.665244617,0.665244617,0.665244617
8/7/2019,660,685,660,670,3.416086957,14275,5947840.683,13.73,14.44,13.64,13.96,-0.31792822,-0.055023162,-28.17201809,0.928380227,0.928380227,0.928380227
8/8/2019,670,685,670,670,3.423478261,14231,5951160.477,19.360001,19.889999,16.82,16.91,-0.309674646,-0.053806875,-26.33584751,0.998027106,0.998027106,0.998027106
8/11/2019,670,670,655,665,3.430869565,14225.5,5954480.27,12.98,13.05,12,12.07,-0.301421073,-0.052590587,-24.49967693,0.922831357,0.922831357,0.922831357
8/12/2019,670,680,660,675,3.43826087,14220,5957800.063,17.1300005,17.3449995,14.76,14.795,-0.293167499,-0.0513743,-22.66350636,0.89757098,0.89757098,0.89757098
8/13/2019,680,680,665,675,3.445652174,14283,5961119.857,21.280001,21.639999,17.52,17.52,-0.284913926,-0.050158012,-20.82733578,0.830992758,0.830992758,0.830992758
8/14/2019,670,680,670,675,3.453043478,14234,5964439.65,17.809999,22.709999,17.75,22.1,-0.276660353,-0.048941725,-18.9911652,0.930887091,0.930887091,0.930887091
8/15/2019,680,680,670,675,3.460434783,14296,5967759.443,21.58,24.1,20.780001,21.18,-0.268406779,-0.047725437,-17.15499462,0.987207913,0.987207913,0.987207913
8/18/2019,680,680,670,675,3.467826087,14249.5,5971079.237,19.755,21.1599995,18.6500005,19.0299995,-0.260153206,-0.04650915,-15.31882404,0.984942639,0.984942639,0.984942639
8/19/2019,675,675,665,665,3.475217391,14203,5974399.03,17.93,18.219999,16.52,16.879999,-0.251899632,-0.045292862,-13.48265346,0.908185089,0.908185089,0.908185089
8/20/2019,665,665,640,640,3.482608696,14262,5977718.823,16.780001,17.700001,16.450001,17.5,-0.243646059,-0.044076574,-11.64648288,0.905926859,0.905926859,0.905926859
8/21/2019,640,640,615,620,3.49,14259,5981038.617,17.01,17.040001,15.51,15.8,-0.235392485,-0.042860287,-9.810312306,0.995828652,0.995828652,0.995828652
8/22/2019,620,665,620,665,3.481627907,14234,5984358.41,16.120001,17.68,15.63,16.68,-0.227138912,-0.041643999,-7.974141727,0.986568302,0.986568302,0.986568302
8/25/2019,665,665,635,655,3.473255814,14247.5,5987678.203,18.2300005,19.505,17.3449995,18,-0.218885339,-0.040427712,-6.137971149,0.55815798,0.55815798,0.55815798
8/26/2019,645,665,645,655,3.464883721,14261,5990997.997,20.34,21.33,19.059999,19.32,-0.210631765,-0.039211424,-4.30180057,0.935777414,0.935777414,0.935777414
8/27/2019,655,675,650,675,3.456511628,14235,5994317.79,20.18,21.040001,18.49,20.309999,-0.202378192,-0.037995137,-2.465629992,0.924780935,0.924780935,0.924780935
8/28/2019,675,705,670,690,3.448139535,14263,5997637.583,20.549999,21.639999,19.1,19.35,-0.194124618,-0.036778849,-0.629459413,0.975986749,0.975986749,0.975986749
8/29/2019,690,710,685,695,3.439767442,14254,6000957.377,19.02,19.200001,17.6,17.879999,-0.185871045,-0.035562562,1.206711166,0.930502132,0.930502132,0.930502132
9/1/2019,695,705,690,690,3.431395349,14222,6004277.17,20.440001,22.799999,19.48,19.98,-0.177617472,-0.034346274,3.042881744,0.996561313,0.996561313,0.996561313
9/2/2019,685,720,675,700,3.423023256,14190,6005305.867,18.113334,19.996666,17.42333333,18.08,-0.169363898,-0.033129987,4.879052323,0.8961971,0.8961971,0.8961971
9/3/2019,700,710,700,700,3.414651163,14217,6006334.564,15.786667,17.193333,15.36666667,16.18,-0.161110325,-0.031913699,6.715222901,0.934657466,0.934657466,0.934657466
9/4/2019,700,710,690,690,3.40627907,14218,6007363.26,13.46,14.39,13.31,14.28,-0.152856751,-0.030697411,8.55139348,0.954588443,0.954588443,0.954588443
9/5/2019,685,715,685,705,3.397906977,14153,6008391.957,21.4,23.379999,18.870001,19.1,-0.144603178,-0.029481124,10.38756406,0.940721703,0.940721703,0.940721703
9/8/2019,705,710,700,705,3.389534884,14122.5,6009420.654,18.139999,19.440001,17.309999,17.969999,-0.136349605,-0.028264836,12.22373464,0.988539469,0.988539469,0.988539469
9/9/2019,705,715,705,705,3.381162791,14092,6010449.351,15.26,16.129999,14.95,15.27,-0.128096031,-0.027048549,14.05990522,0.98167868,0.98167868,0.98167868
9/10/2019,705,705,695,705,3.372790698,14031,6011478.048,19.940001,20,17.77,18.639999,-0.119842458,-0.025832261,15.89607579,0.884760213,0.884760213,0.884760213
9/11/2019,705,715,695,695,3.364418605,14063,6012506.745,17.0950005,18.035,15.01,17.2499995,-0.111588884,-0.024615974,17.73224637,0.963895571,0.963895571,0.963895571
9/12/2019,695,715,695,715,3.356046512,14052,6013535.441,14.25,16.07,12.25,15.86,-0.103335311,-0.023399686,19.56841695,0.987970161,0.987970161,0.987970161
9/15/2019,710,730,705,705,3.347674419,14036,6014564.138,14.57,15.68,13.375,15.265,-0.095081737,-0.022183399,21.40458753,0.929606557,0.929606557,0.929606557
